iter	Logloss
0	0.3008807454
1	0.2407222695
2	0.2270722077
3	0.2243931201
4	0.222896339
5	0.2217469202
6	0.2213928989
7	0.2211074105
8	0.2207294022
9	0.220515722
10	0.2202638759
11	0.2199939982
12	0.2198654016
13	0.219730159
14	0.2196112222
15	0.2194622827
16	0.2192940553
17	0.2191735932
18	0.2190804165
19	0.2189718155
20	0.2187910765
21	0.2186672886
22	0.2185515188
23	0.2184194187
24	0.2182957445
25	0.2181516979
26	0.2180098729
27	0.217929409
28	0.2177915789
29	0.2176955402
30	0.2176125995
31	0.2174774988
32	0.2173927481
33	0.2173187237
34	0.2172204532
35	0.2171095172
36	0.2169589333
37	0.2168142809
38	0.2166929891
39	0.2165819128
40	0.2164805535
41	0.2163861759
42	0.216370123
43	0.2162816524
44	0.2161727113
45	0.2160130645
46	0.2158965086
47	0.2158125916
48	0.215693177
49	0.2155666509
50	0.2154635462
51	0.2153116666
52	0.2152211002
53	0.2151233321
54	0.2151232505
55	0.215013255
56	0.214908999
57	0.2148249103
58	0.2146973718
59	0.2146185857
60	0.2144836087
61	0.2144200856
62	0.214367565
63	0.2142524478
64	0.2141638392
65	0.2140373013
66	0.2139819235
67	0.2138867685
68	0.2138380841
69	0.2137220425
70	0.2136784944
71	0.2135905651
72	0.2135186904
73	0.2134685644
74	0.2133927582
75	0.2132900251
76	0.2132188646
77	0.2131150187
78	0.2130033824
79	0.2128638865
80	0.2127219569
81	0.2126423513
82	0.2125984566
83	0.2124800323
84	0.2123531145
85	0.2122419266
86	0.2121471969
87	0.2120713624
88	0.2119556229
89	0.2118505295
90	0.211778571
91	0.2117152483
92	0.2115986187
93	0.2115264063
94	0.2114794386
95	0.2113894601
96	0.2113026953
97	0.2112204921
98	0.2111605742
99	0.2110791398
100	0.2109752334
101	0.210916762
102	0.2108177428
103	0.2107456177
104	0.2106634586
105	0.2105737254
106	0.2105071953
107	0.2104207081
108	0.2102895282
109	0.210208121
110	0.2101387594
111	0.2100758935
112	0.2100157114
113	0.2099162041
114	0.2098160448
115	0.2097327399
116	0.2095887412
117	0.2094793799
118	0.2093632765
119	0.2092729504
120	0.2092019643
121	0.2091189838
122	0.2090544307
123	0.208986858
124	0.2089204448
125	0.2088233918
126	0.2087537323
127	0.2086664858
128	0.2086249106
129	0.2085647924
130	0.2084875808
131	0.2083556741
132	0.2082662881
133	0.2081657771
134	0.208044469
135	0.2079693278
136	0.2078918826
137	0.2078348698
138	0.2077504239
139	0.2076643716
140	0.2075811189
141	0.2075263191
142	0.2074493873
143	0.2074344387
144	0.2073423431
145	0.2072452122
146	0.2071846207
147	0.2070773092
148	0.2069981582
149	0.2068868035
