iter	Passed	Remaining
0	18	2759
1	34	2530
2	50	2454
3	65	2385
4	80	2329
5	95	2297
6	111	2277
7	127	2255
8	142	2235
9	158	2222
10	175	2215
11	191	2206
12	207	2187
13	223	2171
14	239	2152
15	254	2133
16	270	2114
17	285	2097
18	301	2080
19	317	2061
20	332	2045
21	348	2025
22	363	2008
23	378	1988
24	395	1976
25	411	1961
26	426	1944
27	442	1927
28	459	1915
29	474	1898
30	490	1881
31	506	1866
32	521	1847
33	536	1830
34	551	1812
35	567	1797
36	583	1781
37	599	1765
38	614	1749
39	630	1733
40	645	1717
41	661	1701
42	676	1683
43	692	1667
44	709	1654
45	724	1638
46	740	1623
47	756	1608
48	772	1592
49	789	1578
50	804	1561
51	821	1547
52	837	1533
53	857	1524
54	869	1501
55	885	1486
56	901	1470
57	917	1455
58	932	1438
59	949	1423
60	963	1406
61	978	1389
62	993	1372
63	1010	1357
64	1025	1340
65	1040	1324
66	1056	1308
67	1071	1292
68	1087	1276
69	1103	1261
70	1118	1244
71	1134	1228
72	1149	1212
73	1164	1195
74	1179	1179
75	1193	1162
76	1208	1145
77	1223	1129
78	1239	1114
79	1255	1098
80	1271	1083
81	1287	1067
82	1303	1052
83	1318	1035
84	1333	1019
85	1349	1004
86	1365	988
87	1380	972
88	1395	956
89	1410	940
90	1425	924
91	1440	908
92	1456	892
93	1471	876
94	1486	860
95	1501	844
96	1516	828
97	1532	813
98	1547	797
99	1562	781
100	1578	765
101	1593	749
102	1608	734
103	1624	718
104	1639	702
105	1655	687
106	1670	671
107	1686	655
108	1702	640
109	1718	624
110	1733	609
111	1749	593
112	1765	578
113	1780	562
114	1797	546
115	1812	531
116	1827	515
117	1843	499
118	1862	485
119	1879	469
120	1894	454
121	1910	438
122	1925	422
123	1939	406
124	1955	391
125	1971	375
126	1986	359
127	2001	343
128	2016	328
129	2030	312
130	2057	298
131	2071	282
132	2086	266
133	2106	251
134	2123	235
135	2138	220
136	2153	204
137	2168	188
138	2183	172
139	2199	157
140	2214	141
141	2230	125
142	2246	109
143	2261	94
144	2275	78
145	2290	62
146	2305	47
147	2321	31
148	2336	15
149	2351	0
